Ref,Message Intent,Message Element,Resp,Data link system
DM  77,"Read-back of the assigned vertical range. FANS 1/A-ATN B1.—  FANS 1/A  aircraft  only.    ATN B1  aircraft  uses  DM  38  ASSIGNED  LEVEL  [level],  where  [level] is a vertical range.",ASSIGNED  BLOCK  [level] TO [level],N,FANS 1/A  FANS 1/A- ATN B1
DM  39,Read-back of the assigned speed.,ASSIGNED  SPEED  [speed],N,FANS 1/A
DM  40,Read-back of the assigned route.,ASSIGNED ROUTE [route  clearance],N,FANS 1/A
DM  41,The  aircraft  has  regained  the  cleared  route.,BACK ON ROUTE,N,FANS 1/A
DM  114,Notification  that  the  aircraft  is  clear  of  weather and is able to accept a clearance  to regain cleared flight route.,CLEAR OF WEATHER,N,N/A
DM  42,The  next  waypoint  is  the  specified  position.,NEXT  WAYPOINT  [position],N,FANS 1/A
DM  43,The  ETA  at  the  next  waypoint  is  as  specified.,NEXT  WAYPOINT  ETA  [time],N,FANS 1/A
DM  44,The  next  plus  one  waypoint  is  the  specified position.,ENSUING  WAYPOINT  [position],N,FANS 1/A
DM  45,Clarification  of  previously  reported  waypoint passage.,REPORTED  WAYPOINT  [position],N,FANS 1/A
DM  46,Clarification  of  time  over  previously  reported waypoint.,REPORTED  WAYPOINT  [time],N,FANS 1/A
DM  47,The  specified  (SSR)  code  has  been  selected.,SQUAWKING [code],N,FANS 1/A
DM  48,Position report.  Note.—  Reports  the  current  position  of  the aircraft when the flight crew presses  the  button  to  send  this  message.    ATC  expects  position  reports  based  on  this  downlink message.,POSITION  REPORT  [position report],N,FANS 1/A
DM  79,The  code  of  the  latest  ATIS  received  is  as specified.,ATIS [atis code],N,FANS 1/A
DM  89,The  specified  ATS  unit  is  being  monitored on the specified frequency.  FANS 1/A-ATN B1.—  FANS 1/A aircraft  uses DM 67aa free text.  May require to  be preformatted.,MONITORING  [unit  name] [frequency],N,FANS 1/A  [free text]  ATN B1  FANS 1/A- ATN B1
DM  102,Used to report that an aircraft has landed.,LANDING REPORT,N,N/A
DM  104,Notification  of  estimated  time  of  arrival  at the specified position.  FANS 1/A.—  Uses  free  text  DM  67n.   Response to free text UM 169d REPORT  ETA [position],ETA  [position]  [time]  or  [position] [time],N,FANS 1/A  [free text]
DM  105,Notification of the alternative aerodrome  for landing.,ALTERNATE  AERODROME [airport],N,N/A
DM  106,Notification of the preferred level.  FANS 1/A.—  Uses  DM  67m.    Response  to  free  text  UM  169c  STATE  PREFERRED LEVEL.  FANS 1/A  –  ATN B1.—    FANS 1/A  aircraft  response  to  UM  231  STATE  PREFERRED LEVEL.,PREFERRED  LEVEL  [level] or FL[altitude],N,FANS 1/A  [free text]  ATN B1  FANS 1/A- ATN B1
DM  109,Notification  of  the  preferred  time  to  commence descent for approach.  FANS 1/A.— Uses DM 67v.  Response to  free  text  UM  169aa  STATE  TOP  OF  DESCENT.  FANS 1/A  –  ATN B1.—  FANS 1/A  aircraft  response  to  UM  232  STATE  TOP OF DESCENT.,TOP  OF  DESCENT  [time] or TOD [time],N,FANS 1/A  [free text]  ATN B1  FANS 1/A- ATN B1
DM  110,Notification  of  the  preferred  position  to  commence descent for approach.,TOP  OF  DESCENT  [position],N,N/A
DM  111,Notification  of  the  preferred  time  and  position  to  commence  descent  for  approach.,TOP  OF  DESCENT  [time]  [position],N,N/A
DM  49,Request  for  the  earliest  time  at  which  a  clearance  to  the  specified  speed  can  be  expected.,WHEN CAN WE EXPECT  [speed],Y,FANS 1/A
DM  50,"Request  for  the  earliest  time  at  which  a  clearance to a speed within the specified  range can be expected.  Note.— This message should not be used  as it is not supported by the appropriate  uplink  message  response:  UM  103,  UM  104 or UM 105.",WHEN CAN WE EXPECT  [speed] TO [speed],Y,FANS 1/A
DM  51,Request  for  the  earliest  time  at  which  a  clearance to regain the planned route can  be expected.,WHEN CAN WE EXPECT  BACK ON ROUTE,Y,FANS 1/A
DM  52,Request  for  the  earliest  time  at  which  a  clearance to descend can be expected.,WHEN  CAN  WE  EXPECT  LOWER  LEVEL  or  WHEN  CAN  WE  EXPECT  LOWER  ALTITUDE,Y,FANS 1/A
DM  53,Request  for  the  earliest  time  at  which  a  clearance to climb can be expected.,WHEN  CAN  WE  EXPECT  HIGHER  LEVEL  or  WHEN  CAN  WE  EXPECT  HIGHER  ALTITUDE,Y,FANS 1/A
DM  54,"Request  for  the  earliest  time  at  which  a  clearance to cruise climb to the specified  level can be expected.  Note.— This message should not be used  as it is not supported by the appropriate  uplink  message  response:  UM  11,  UM  12, UM 17, or UM 18.",WHEN CAN WE EXPECT  CRUISE  CLIMB  TO  [level],Y,FANS 1/A
DM  87,Request  for  the  earliest  time  at  which  a  clearance  to  climb  to  the  specified  level  can be expected.  FANS 1/A.— Uses preformatted free text  DM 67h.,WHEN CAN WE EXPECT  CLIMB TO [level],Y,FANS 1/A  [free text]
DM  88,Request  for  the  earliest  time  at  which  a  clearance  to  descend  to  the  specified  level can be expected.  FANS 1/A.— Uses preformatted free text  DM 67i.,WHEN CAN WE EXPECT  DESCENT TO [level],Y,FANS 1/A  [free text]
DM  55,Urgency prefix.  FANS 1/A  –  ATN B1.—  Ground  system  will  display  message  to  controller  for  FANS 1/A aircraft.,PAN PAN PAN,Y  or  N,FANS 1/A   FANS 1/A- ATN B1  (Urgent)
DM  56,Distress prefix.  FANS 1/A  –  ATN B1.—  Ground  system  will  display  message  to  controller  for  FANS 1/A aircraft.,MAYDAY  MAYDAY  MAYDAY,Y  or  N,FANS 1/A   FANS 1/A- ATN B1  (Distress)
DM  112,Indicates  specifically  that  the  aircraft  is  being subjected to unlawful interference.,SQUAWKING 7500,N,N/A  (Urgent)
DM  57,Notification  of  fuel  remaining  and  number of persons on board.   FANS 1/A  –  ATN B1.—  Ground  system  will  display  message  to  controller  for  FANS 1/A aircraft.,[remaining  fuel]  OF  FUEL  REMAINING  AND  [persons  on  board]  PERSONS  ON  BOARD  or  [remaining  fuel]  OF  FUEL  REMAINING  AND  [remaining  souls]  SOULS  ON BOARD,Y  or  N,FANS 1/A   FANS 1/A- ATN B1  (Urgent)
DM  58,Notification  that  the  pilot  wishes  to  cancel the emergency condition.   FANS 1/A  –  ATN B1.—  Ground  system  will  display  message  to  controller  for  FANS 1/A aircraft.,CANCEL EMERGENCY,Y  or  N,FANS 1/A   FANS 1/A- ATN B1  (Urgent)
DM  59,Notification that the aircraft is diverting  to the specified position via the specified  route due to an urgent need.   FANS 1/A  –  ATN B1.—  Ground  system  will  display  message  to  controller  for  FANS 1/A aircraft.,DIVERTING TO [position]  VIA [route clearance],Y  or  N,FANS 1/A   FANS 1/A- ATN B1  (Urgent)
DM  60,Notification that the aircraft is deviating  the  specified  distance  in  the  specified  direction  off  the  cleared  route  and  maintaining  a  parallel  track  due  to  an  urgent need.   FANS 1/A  –  ATN B1.—  Ground  system  will  display  message  to  controller  for  FANS 1/A aircraft.,OFFSETTING  [specified  distance]  [direction]  OF  ROUTE,Y  or  N,FANS 1/A   FANS 1/A- ATN B1  (Urgent)
DM  61,Notification  that  the  aircraft  is  descending  to  the  specified  level  due  to  an urgent need.   FANS 1/A  –  ATN B1.—  Ground  system  will  display  message  to  controller  for  FANS 1/A aircraft.,DESCENDING TO [level],Y  or  N,FANS 1/A   FANS 1/A- ATN B1  (Urgent)
DM  80,Notification  that  the  aircraft  is  deviating  up  to  the  deviating  distance  from  the  cleared  route  in  the  specified  direction  due to an urgent need.  FANS 1/A.—  Notification  that  the  aircraft  is  operating  on  an  offset.    The  urgency  attribute  for  this  message  element is not defined.,DEVIATING  UP  TO  [specified  distance]  [direction] OF ROUTE or  DEVIATING  [distanceoffset]  [direction]  OF ROUTE,Y  or  N,FANS 1/A  (Urgent)
DM  62,A  system-generated  message  that  the  avionics has detected an error.,ERROR [error information],N,FANS 1/A  ATN B1   FANS 1/A- ATN B1  (Urgent)
DM  63,A  system-generated  denial  to  any  CPDLC application message sent from a  ground facility that is not the current data  authority.,NOT  CURRENT  DATA  AUTHORITY,N,FANS 1/A  ATN B1  FANS 1/A- ATN B1
DM  99,A system-generated message to inform a  ground facility that it is now the current  data authority.,CURRENT  DATA  AUTHORITY,N,ATN B1   FANS 1/A- ATN B1  (Urgent)
DM  64,Notification  to  the  ground  system  that  the  specified  ATSU  is  the  current  data  authority.  FANS 1/A  –  ATN B1.—  FANS 1/A  aircraft uses this message.,[facility designation],N,FANS 1/A  FANS 1/A- ATN B1
DM  107,A  system-generated  message  sent  to  a  ground system that tries to connect to an  aircraft when a current data authority has  not  designated  the  ground  system  as  the  NDA.  FANS 1/A  –  ATN B1.—  ATN B1  aircraft  uses this message.,NOT  AUTHORIZED  NEXT  DATA  AUTHORITY,N,ATN B1
DM  73,A  system-generated  message  indicating  the software version number.  FANS 1/A  –  ATN B1.—  FANS 1/A  aircraft uses this message.,[version number],N,FANS 1/A  FANS 1/A- ATN B1
DM  100,"Confirmation  to  the  ground  system  that  the  aircraft  system  has  received  the  message  to  which  the  logical  acknowledgement  refers  and  found  it  acceptable  for  display  to  the  responsible  person.  FANS 1/A  –  ATN B1.—  ATN B1  ground  systems  uses  alternate  means,  such  as  MAS  message  assurance  received  from  FANS 1/A  aircraft,  to  mimic  LOGICAL  ACKNOWLEDGEMENT.",LOGICAL  ACKNOWLEDGEMENT,N,ATN B1
DM  65,Used  to  explain  reasons  for  pilot’s  message.,DUE TO WEATHER,N,FANS 1/A  ATN B1  FANS 1/A- ATN B1
DM  66,Used  to  explain  reasons  for  pilot’s  message.,DUE  TO  AIRCRAFT  PERFORMANCE,N,FANS 1/A  ATN B1  FANS 1/A- ATN B1
DM  74,States  a  desire  by  the  pilot  to  provide  his/her  own  separation  and  remain  in  VMC.,REQUEST  TO  MAINTAIN  OWN  SEPARATION  AND  VMC  or  MAINTAIN  OWN  SEPARATION AND VMC,Y  or  N,FANS 1/A
DM  75,Used  in  conjunction  with  another  message to indicate that the pilot wishes  to  execute  request  when  the  pilot  is  prepared to do so.,AT PILOTS DISCRETION,N,FANS 1/A
DM  101,Allows  the  pilot  to  indicate  a  desire  for  termination  of  CPDLC  application  with  the current data authority.,REQUEST  END  OF  SERVICE,Y,N/A
DM  103,Allows  the  pilot  to  indicate  that  he/she  has cancelled IFR flight plan.,CANCELLING IFR,Y,N/A
DM  108,Notification that de-icing action has been  completed.,DE-ICING COMPLETE,N,N/A
DM  67,"Normal urgency, low alert  FANS 1/A  –  ATN B1.—  FANS 1/A  aircraft only.  ATN B1 aircraft uses DM  98.",[free text],N,FANS 1/A  FANS 1/A- ATN B1
DM  68,"Distress urgency, high alert  Note.—  Selecting  any  of  the  emergency  message  elements  will  result  in  this  message  element  being  enabled  for  the  flight  crew  to  include  in  the  emergency  message at their discretion.",[free text],Y,FANS 1/A
DM  90,"normal urgency, medium alert",[free text],N,N/A
DM  91,"normal urgency, low alert",[free text],Y,N/A
DM  92,"low urgency, low alert",[free text],Y,N/A
DM  93,"urgent urgency, high alert",[free text],N,N/A  (Urgent)
DM  94,"distress urgency, high alert",[free text],N,N/A  (Distress)
DM  95,"urgent urgency, medium alert",[free text],N,N/A  (Urgent)
DM  96,"urgent urgency, low alert",[free text],N,N/A  (Urgent)
DM  97,"low urgency, low alert",[free text],N,N/A
DM  98,"normal urgency, normal alert  FANS 1/A  –  ATN B1.—  ATN B1  aircraft  only.  FANS 1/A aircraft uses DM 67.",[free text],N,ATN B1  FANS 1/A- ATN B1
DM  81,We  can  accept  the  specified  level  at  the  specified time.  FANS 1/A.— Uses preformatted free text  DM 67b.,WE  CAN  ACCEPT  [level]  AT [time],N,FANS 1/A  [free text]  ATN B1  FANS 1/A- ATN B1
DM  115,We  can  accept  the  specified  level  at  the  specified position.,WE  CAN  ACCEPT  [level]  AT [position],N,N/A
DM  82,We cannot accept the specified level.  FANS 1/A.— Uses preformatted free text  DM 67e.,WE  CANNOT  ACCEPT  [level],N,FANS 1/A  [free text]  ATN B1  FANS 1/A- ATN B1
DM  83,We can accept the specified speed at the  specified time.  FANS 1/A.— Uses preformatted free text  DM 67c.,WE CAN ACCEPT [speed]  AT [time],N,FANS 1/A  [free text]
DM  116,We can accept the specified speed at the  specified position.,WE CAN ACCEPT [speed]  AT [position],N,N/A
DM  84,We cannot accept the specified speed.  FANS 1/A.— Uses preformatted free text  DM 67f.,WE  CANNOT  ACCEPT  [speed],N,FANS 1/A  [free text]
DM  85,We can accept a parallel track offset the  specified  distance  in  the  specified  direction at the specified time.  FANS 1/A.— Uses preformatted free text  DM 67d.,WE  CAN  ACCEPT  [specified  distance]  [direction] AT [time],N,FANS 1/A  [free text]
DM  117,We can accept a parallel track offset the  specified  distance  in  the  specified  direction at the specified position.,WE  CAN  ACCEPT  [specified  distance]  [direction] AT [position],N,N/A
DM  86,We  cannot  accept  a  parallel  track  offset  the  specified  distance  in  the  specified  direction.  FANS 1/A.— Uses preformatted free text  DM 67g.,WE  CANNOT  ACCEPT  [specified  distance]  [direction],N,FANS 1/A  [free text]
